"042102","2102","Yeast"
"042103","2103","Sauces and Seasonings"
"042104","2104","Soups and Broths"
"042105","2105","Ice Cream"
"042106","2106","Other Edible Preparations"
"042201","2201","Water"
"042202","2202","Flavored Water"
"042203","2203","Beer"
"042204","2204","Wine"
"042205","2205","Vermouth"
"042206","2206","Other Fermented Beverages"
"042207","2207","Alcohol > 80% ABV"
"042208","2208","Hard Liquor"
"042209","2209","Vinegar"
"042301","2301","Animal Meal and Pellets"
"042302","2302","Bran"
"042303","2303","Starch Residue"
"042304","2304","Soybean Meal"
"042305","2305","Ground Nut Meal"
"042306","2306","Other Vegetable Residues"
"042307","2307","Wine Lees"
"042308","2308","Other Vegetable Residues and Waste"
"042309","2309","Animal Food"
"042401","2401","Raw Tobacco"
"042402","2402","Rolled Tobacco"
"042403","2403","Processed Tobacco"
"052501","2501","Salt"
"052502","2502","Iron Pyrites"
"052503","2503","Sulphur"
"052504","2504","Graphite"
"052505","2505","Sand"
"052506","2506","Quartz"
"052507","2507","Kaolin"
"052508","2508","Clays"
"052509","2509","Chalk"
"052510","2510","Calcium Phosphates"
"052511","2511","Barium Sulphate"
"052512","2512","Siliceous Fossil Meals"
"052513","2513","Pumice"
"052514","2514","Slate"
"052515","2515","Marble, Travertine and Alabaster"
"052516","2516","Granite"
"052517","2517","Gravel and Crushed Stone"
"052518","2518","Dolomite"
"052519","2519","Magnesium Carbonate"
"052520","2520","Gypsum"
"052521","2521","Limestone"
"052522","2522","Quicklime"
"052523","2523","Cement"
"052524","2524","Asbestos"
"052525","2525","Mica"
"052526","2526","Soapstone"
"052527","2527","Cryolite"
"052528","2528","Borax"
"052529","2529","Feldspar"
"052530","2530","Other Mineral"
"052601","2601","Iron Ore"
"052602","2602","Manganese Ore"
"052603","2603","Copper Ore"
"052604","2604","Nickel Ore"
"052605","2605","Cobalt Ore"
"052606","2606","Aluminium Ore"
"052607","2607","Lead Ore"
"052608","2608","Zinc Ore"
"052609","2609","Tin Ores"
"052610","2610","Chromium Ore"
"052611","2611","Tungsten Ore"
"052612","2612","Uranium and Thorium Ore"
"052613","2613","Molybdenum Ore"
"052614","2614","Titanium Ore"
"052615","2615","Niobium, Tantalum, Vanadium and Zirconium Ore"
"052616","2616","Precious Metal Ore"
"052617","2617","Other Ores"
"052618","2618","Granulated Slag"
"052619","2619","Slag Dross"
"052620","2620","Non-Iron and Steel Slag, Ash and Residues"
"052621","2621","Other Slag and Ash"
"052701","2701","Coal Briquettes"
"052702","2702","Lignite"
"052703","2703","Peat"
"052704","2704","Coke"
"052705","2705","Non-Petroleum Gas"
"052706","2706","Tar"
"052707","2707","Coal Tar Oil"
"052708","2708","Pitch Coke"
"052709","2709","Crude Petroleum"
"052710","2710","Refined Petroleum"
"052711","2711","Petroleum Gas"
"052712","2712","Petroleum Jelly"
"052713","2713","Petroleum Coke"
"052714","2714","Asphalt"
"052715","2715","Asphalt Mixtures"
"052716","2716","Electricity"
"062801","2801","Halogens"
"062802","2802","Sulfur"
"062803","2803","Carbon"
"062804","2804","Hydrogen"
"062805","2805","Alkaline Metals"
"062806","2806","Hydrochloric Acid"
"062807","2807","Sulfuric Acid"
"062808","2808","Nitric Acids"
"062809","2809","Phosphoric Acid"
"062810","2810","Boron"
"062811","2811","Other Inorganic Acids"
"062812","2812","Halides"
"062813","2813","Nonmetal Sulfides"
"062814","2814","Ammonia"
"062815","2815","Sodium or Potassium Peroxides"
"062816","2816","Magnesium Hydroxide and Peroxide"
"062817","2817","Zinc Oxide and Peroxide"
"062818","2818","Aluminium Oxide"
"062819","2819","Chromium Oxides and Hydroxides"
"062820","2820","Manganese Oxides"
"062821","2821","Iron Oxides and Hydroxides"
"062822","2822","Cobalt Oxides and Hydroxides"
"062823","2823","Titanium Oxides"
"062824","2824","Lead Oxides"
"062825","2825","Inorganic Salts"
"062826","2826","Fluorides"
"062827","2827","Chlorides"
"062828","2828","Hypochlorites"
"062829","2829","Chlorates and Perchlorates"
"062830","2830","Sulfides"
"062831","2831","Dithionites and Sulfoxylates"
"062832","2832","Sulfites"
"062833","2833","Sulfates"
"062834","2834","Nitrites and Nitrates"
"062835","2835","Phosphinates and Phosphonates"
"062836","2836","Carbonates"
"062837","2837","Cyanides"
"062838","2838","Fulminates"
"062839","2839","Silicates"
"062840","2840","Borates"
"062841","2841","Oxometallic or Peroxometallic Acid Salts"
"062842","2842","Other Inorganic Acids Salts"
"062843","2843","Precious Metal Compounds"
"062844","2844","Radioactive Chemicals"
"062845","2845","Other Isotopes"
"062846","2846","Rare-Earth Metal Compounds"
"062847","2847","Hydrogen peroxide"
"062848","2848","Phosphides"
"062849","2849","Carbides"
"062850","2850","Hydrides and other anions"
"062851","2851","Inorganic Compounds"
"062901","2901","Acyclic Hydrocarbons"
"062902","2902","Cyclic Hydrocarbons"
"062903","2903","Halogenated Hydrocarbons"
"062904","2904","Sulfonated, Nitrated or Nitrosated Hydrocarbons"
"062905","2905","Acyclic Alcohols"
"062906","2906","Cyclic Alcohols"
"062907","2907","Phenols"
"062908","2908","Phenol Derivatives"
"062909","2909","Ethers"
"062910","2910","Epoxides"
"062911","2911","Acetals and Hemiacetals"
"062912","2912","Aldehydes"
"062913","2913","Aldehyde Derivatives"
"062914","2914","Ketones and Quinones"
"062915","2915","Saturated Acyclic Monocarboxylic Acids"
"062916","2916","Unsaturated Acyclic Monocarboxylic Acids"
"062917","2917","Polycarboxylic Acids"
"062918","2918","Carboxylic Acids"
"062919","2919","Phosphoric Esters and Salts"
"062920","2920","Other Esters"
"062921","2921","Amine Compounds"
"062922","2922","Oxygen Amino Compounds"
"062923","2923","Quaternary Ammonium Salts and Hydroxides"
"062924","2924","Carboxyamide Compounds"
"062925","2925","Carboxyimide Compounds"
"062926","2926","Nitrile Compounds"
"062927","2927","Diazo, Azo or Aoxy Compounds"
"062928","2928","Hydrazine or Hydroxylamine Derivatives"
"062929","2929","Other Nitrogen Compounds"
"062930","2930","Organo-Sulfur Compounds"
"062931","2931","Other Organo-Inorganic Compounds"
"062932","2932","Oxygen Heterocyclic Compounds"
"062933","2933","Nitrogen Heterocyclic Compounds"
"062934","2934","Nucleic Acids"
"062935","2935","Sulfonamides"
"062936","2936","Vitamins"
"062937","2937","Hormones"
"062938","2938","Glycosides"
"062939","2939","Vegetable Alkaloids"
"062940","2940","Chemically Pure Sugars"
"062941","2941","Antibiotics"
"062942","2942","Other Organic Compounds"
"063001","3001","Glands and Other Organs"
"063002","3002","Human or Animal Blood"
"063003","3003","Unpackaged Medicaments"
"063004","3004","Packaged Medicaments"
"063005","3005","Bandages"
"063006","3006","Special Pharmaceuticals"
"063101","3101","Animal or Vegetable Fertilizers"
"063102","3102","Nitrogenous Fertilizers"
"063103","3103","Phosphatic Fertilizers"
"063104","3104","Potassic Fertilizers"
"063105","3105","Mixed Mineral or Chemical Fertilizers"
"063201","3201","Vegetable Tanning Extracts"
"063202","3202","Synthetic Tanning Extracts"
"063203","3203","Vegetable or Animal Dyes"
"063204","3204","Synthetic Coloring Matter"
"063205","3205","Lake Pigments"
"063206","3206","Other Coloring Matter"
"063207","3207","Prepared Pigments"
"063208","3208","Nonaqueous Paints"
"063209","3209","Aqueous Paints"
"063210","3210","Other Paints"
"063211","3211","Prepared Paint Driers"
"063212","3212","Nonaqueous Pigments"
"063213","3213","Artistry Paints"
"063214","3214","Glaziers Putty"
"063215","3215","Ink"
"063301","3301","Essential Oils"
"063302","3302","Scented Mixtures"
"063303","3303","Perfumes"
"063304","3304","Beauty Products"
"063305","3305","Hair Products"
"063306","3306","Dental Products"
"063307","3307","Shaving Products"
"063401","3401","Soap"
"063402","3402","Cleaning Products"
